uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
5805,AA,"24",LHR,"507",ACC,"248",Y,0,"744",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Kotoka International Airport,Accra,Ghana,5.60518980026245,-0.166786000132561,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5806,AA,"24",LHR,"507",AGP,"1230",Y,0,"320",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Málaga Airport,Malaga,Spain,36.6749000549316,-4.49911022186279,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5807,AA,"24",LHR,"507",AMS,"580",Y,0,320 319 321,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5808,AA,"24",LHR,"507",ARN,"737",Y,0,321 319 767 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Stockholm-Arlanda Airport,Stockholm,Sweden,59.651901245117,17.918600082397,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5809,AA,"24",LHR,"507",ATH,"3941",Y,0,767 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5810,AA,"24",LHR,"507",ATL,"3682",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5811,AA,"24",LHR,"507",AUH,"2179",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.4330005645752,54.6511001586914,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5812,AA,"24",LHR,"507",AUS,"3673",,0,"787",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Austin Bergstrom International Airport,Austin,United States,30.1944999694824,-97.6698989868164,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5813,AA,"24",LHR,"507",BAH,"2057",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Bahrain International Airport,Bahrain,Bahrain,26.2707996368408,50.6335983276367,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5814,AA,"24",LHR,"507",BCN,"1218",Y,0,319 320 321 767,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
