uid,equipment,source_name,source_city,source_country,source_lat,source_long
14671,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14672,788,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14673,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14674,319 320 321 767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14675,321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14676,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14677,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14678,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14679,320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14680,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14681,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14682,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14683,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14684,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14685,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14686,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14687,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14688,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14689,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14690,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
14691,788,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
