uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long,source_name,source_city,source_country,source_lat,source_long
5872,763 777,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5873,319 320 321,Oslo Lufthavn,Oslo,Norway,60.121,11.0502,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5874,"320",Henri Coandă International Airport,Bucharest,Romania,44.5711111,26.085,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5875,"333",Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5876,"744",Phoenix Sky Harbor International Airport,Phoenix,United States,33.4342994689941,-112.012001037598,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5877,"320",Václav Havel Airport Prague,Prague,Czech Republic,50.1008,14.26,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5878,320 321,Pisa International Airport,Pisa,Italy,43.683899,10.3927,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5879,"763",Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235352,-78.7874984741211,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5880,"319",Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5881,"777",San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5882,"777",Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5883,"744",San Francisco International Airport,San Francisco,United States,37.6189994812012,-122.375,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5884,"320",Sofia Airport,Sofia,Bulgaria,42.6966934204102,23.4114360809326,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5885,319 321 320,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5886,"319",Stavanger Airport Sola,Stavanger,Norway,58.876701354,5.6377801895,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5887,319 320,Toulouse-Blagnac Airport,Toulouse,France,43.629101,1.36382,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5888,320 321 319,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5889,320 319,Venice Marco Polo Airport,Venice,Italy,45.505299,12.3519,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5890,320 319,Vienna International Airport,Vienna,Austria,48.110298156738,16.569700241089,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5891,"320",Warsaw Chopin Airport,Warsaw,Poland,52.1656990051,20.9671001434,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5892,"777",Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5893,"744",Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5894,"767",Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5895,787 744,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.6305999756,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5896,319 320,Zagreb Airport,Zagreb,Croatia,45.7429008484,16.0687999725,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5897,320 319 321,Zürich Airport,Zurich,Switzerland,47.464699,8.54917,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5936,E70,Helsinki Vantaa Airport,Helsinki,Finland,60.317199707031,24.963300704956,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5937,"757",John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5938,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5939,"763",Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
5940,"332",Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
6176,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Newcastle Airport,Newcastle,United Kingdom,55.0374984741211,-1.69166994094849
7380,E70 E90 AR8,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,London City Airport,London,United Kingdom,51.505299,0.055278
7381,E90 E70,Zürich Airport,Zurich,Switzerland,47.464699,8.54917,London City Airport,London,United Kingdom,51.505299,0.055278
7393,"734",Salzburg Airport,Salzburg,Austria,47.7933006287,13.0043001175,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
7394,319 320 321,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,47.59,7.5291667,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7395,767 319 320,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7396,"319",Hannover Airport,Hannover,Germany,52.461101532,9.68507957458,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7397,319 321 320,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7398,320 321 319,Munich Airport,Munich,Germany,48.353802,11.7861,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7399,320 319,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7400,319 321 320,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7401,320 321 319,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7402,"320",Vienna International Airport,Vienna,Austria,48.110298156738,16.569700241089,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7403,319 320 321,Zürich Airport,Zurich,Switzerland,47.464699,8.54917,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7615,DH4,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
7962,"763",Edmonton International Airport,Edmonton,Canada,53.3097000122,-113.580001831,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7963,"763",Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7964,"763",Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215332,-75.6691970825195,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7965,77W,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7966,77W,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7967,"333",Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7968,"319",St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
7969,77L 763 77W 333,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.6305999756,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
8976,E70,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
9197,319 320,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
9198,E75,Lyon Saint-Exupéry Airport,Lyon,France,45.725556,5.081111,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
9454,F50,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9455,F50,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9456,F50,Jersey Airport,Jersey,Jersey,49.2079010009766,-2.1955099105835,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9457,F50,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
9495,AR8,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
